id,site_ID,expand_name,location,sponsor,revenue,owner,year,traffic,Media Type,type
252,252,Watts Up with that,USA,advertising/donations,mixed,Anthony Watts,2016,Medium,Website,pseudoscience 
253,253,The horn news,USA,advertising,advertising,"New Market Health, LLC",2015,Unknown,Unknown,politics
254,254,Bare Naked Islam,USA,advertising/donations,mixed,Unknown,2008,Unknown,Unknown,politics
255,255,Thought Crime Radio,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Website,conspiracy 
256,256,The Liberty Daily,USA,Unknown,Unknown,Freedom Media Group LLC,2010,Medium,Website,mega
257,257,Unite America First,USA,advertising/donations/sales,mixed,Will Johnson,2017,Minimal,Website,politics
258,258,One America News Network,USA,advertising/fees,mixed,"Herring Networks, Inc.",2013,High,TV Station,mega
259,259,Lew Rockwell,USA,advertising/donations,mixed,Lew Rockwell LLC.,1999,Medium,Website,conspiracy 
260,260,iHarare,Zimbabwe,advertising/sales,mixed,Flipknox Investments,2013,Unknown,Unknown,mega
261,261,Wake Up World,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,conspiracy 
262,262,WND,USA,advertising/sales,mixed,"WorldNetDaily.com, Inc.",1997,Medium,Website,politics
263,263,American Policy Center,USA,advertising/donations/sales,mixed,American Policy Cente,1988,Minimal,Organization/Foundation,conspiracy 
264,264,The Red Elephants,USA,donations/sales,mixed,Vincent James,2016,Medium,Website,politics
265,265,Electroverse,Unknown,donations,donations,Unknown,2018,Medium,Website,conspiracy 
266,266,American College of Pediatricians,USA,donations/fees,mixed,Unknown,2002,Minimal,Organization/Foundation,pseudoscience 
267,267,Investment Watch Blog,USA,advertising/donations,mixed,Unknown,2010,Unknown,Unknown,conspiracy 
268,268,The mind unleashed,USA,advertising,advertising,"The Mind Unleashed, Inc.",2013,Minimal,Website,conspiracy 
269,269,Oath Keepers,USA,donations/sales,mixed,Unknown,2009,Minimal,Organization/Foundation,politics
270,270,Rudaw,Iraq,Unknown,Unknown,Unknown,2008,Unknown,Unknown,politics
271,271,Dr. Axe,USA,advertising/sales,mixed,Joshua Lee Axe,Unknown,Unknown,Unknown,pseudoscience 
272,272,Washington Examiner,,,,,,,,politics
273,273,The Blaze,,,,,,,,mega
274,274,Illuminati Watcher,USA,fees,fees,Isaac Weishaupt,2012,Unknown,Unknown,conspiracy 
275,275,Red Ice TV,Sweden,fees,fees,Palmgren ,2003,Unknown,Unknown,politics
276,276,NoTricksZone,Germany,sales,sales,Pierre Gosselin,2010,Unknown,Unknown,conspiracy 
277,277,TheBL,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,conspiracy 
278,278,The Liberty Beacon,USA,donations,donations,Roger Landry,2015,Medium,Website,conspiracy 
279,279,Renew America,USA,Unknown,Unknown,Unknown,2002,Unknown,Unknown,conspiracy 
280,280,Washington Times,USA,advertising/fees,mixed,Operations Holdings Inc,1982,High,Newspaper,politics
281,281,Newsner,Sweden,advertising,advertising,Unknown,2014,Unknown,Unknown,conspiracy 
282,282,whatdoesitmean.com,Unknown,advertising,advertising,Unknown,2003,Unknown,Unknown,conspiracy 
283,283,Univision,,,,,,,,mega
284,284,Pants on Fire News,USA,advertising/sponsor,mixed,Unknown,2019,Unknown,Unknown,conspiracy 
285,285,National Vaccine Information Institute,USA,advertising/donations,mixed,The National Vaccine Information Center,1982,Minimal,Organization/Foundation,antivaxx campaigns
286,286,News Inside Out,USA,advertising/donations,mixed,Unknown,2014,Unknown,Unknown,conspiracy 
